Transcript_ID	Transcript_ID	Gene_ID	Description	IO_Read_Count	IX_Read_Count	NO_Read_Count	NX_Read_Count	IO_FPKM	IX_FPKM	NO_FPKM	NX_FPKM
Os04g0101300	Os04t0101300-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os06g0101300	Os06t0101300-01	.	.	28	81	63	173	19.842072	24.703176	34.641441	22.416143
Os08g0101400	Os08t0101400-01	.	.	0	46	7	64	0.0	12.713567	3.225778	7.519702
Os07g0101400	Os07t0101400-01	.	.	18	88	54	158	10.997625	23.214363	25.723564	17.577713
Os03g0101400	Os03t0101400-01	.	.	0	0	0	4	0.0	0.0	0.0	0.38613
Os05g0101400	Os05t0101400-01,Os05t0101400-02	.	.	46	66	35	140	60.98069	37.821119	35.273531	34.129802
Os04g0101400	Os04t0101400-01	.	.	2	0	5	0	1.156582	0.0	2.358451	0.0
Os02g0101400	Os02t0101400-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os02g0101500	Os02t0101500-01,Os02t0101500-02	.	.	222	1064	375	2779	134.921062	274.184908	154.524578	206.953289
Os07g0101500	Os07t0101500-01	.	.	0	0	0	41	0.0	0.0	0.0	6.764219
Os08g0101500	Os08t0101500-01	.	.	0	14	4	13	0.0	4.295977	2.178089	1.563474
Os03g0101500	Os03t0101500-01	.	.	16	32	2	40	15.630846	13.47065	1.531008	7.122227
Os04g0101550	Os04t0101550-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os01g0101600	Os01t0101600-01,Os01t0101600-02,Os01t0101600-03	.	.	141	321	81	477	45.251149	47.473931	17.831198	32.106045
Os05g0101600	Os05t0101600-01	.	.	0	12	10	8	0.0	2.602085	4.005364	0.759978
Os12g0101600	Os12t0101600-01,Os12t0101600-02	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os03g0101600	Os03t0101600-01	.	.	33	128	59	327	29.232243	49.336517	40.784252	53.238094
Os08g0101600	Os08t0101600-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os06g0101600	Os06t0101600-01	.	.	365	1773	257	3631	542.648132	1143.358643	298.988159	988.558533
Os02g0101600	Os02t0101600-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os03g0101700	Os03t0101700-01	.	.	0	2	0	2	0.0	0.289462	0.0	0.122209
Os08g0101700	Os08t0101700-01	.	.	21	226	8	220	18.885515	92.040169	5.904695	37.853569
Os01g0101700	Os01t0101700-00	.	.	0	44	8	40	0.0	22.279203	7.427059	8.544964
Os02g0101700	Os02t0101700-01,Os02t0101700-02	.	.	114	254	162	827	104.28243	77.813467	83.934853	99.042076
Os04g0101700	Os04t0101700-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os02g0101750	Os02t0101750-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os09g0101800	Os09t0101800-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os05g0101800	Os05t0101800-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os12g0101800	Os12t0101800-01,Os12t0101800-02	.	.	225	804	90	673	72.286363	106.918436	21.118951	40.119787
Os04g0101800	Os04t0101800-01	.	.	0	8	0	45	0.0	1.510317	0.0	3.523629
Os02g0101800	Os02t0101800-01	.	.	12	31	14	114	3.945819	4.616949	3.762062	7.163217
Os01g0101800	Os01t0101800-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os08g0101800	Os08t0101800-01	.	.	53	98	60	203	22.093697	17.808285	19.589134	15.626412
Os03g0101800	Os03t0101800-01,Os03t0101800-02	.	.	61	142	69	236	60.756398	61.076397	52.792014	42.746567
Os07g0101800	Os07t0101800-00	.	.	0	6	0	0	0.0	2.149326	0.0	0.0
Os06g0101800	Os06t0101800-01	.	.	20	16	9	53	9.156322	3.175575	2.872742	4.420353
Os01g0101850	Os01t0101850-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os02g0101900	Os02t0101900-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os08g0101900	Os08t0101900-00	.	.	0	0	4	0	0.0	0.0	5.717902	0.0
Os10g0101900	Os10t0101900-01	.	.	0	0	0	1	0.0	0.0	0.0	0.05468
Os01g0101900	Os01t0101900-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os03g0101900	Os03t0101900-01,Os03t0101900-02	.	.	2	16	0	36	1.331605	4.467615	0.0	4.3815
Os12g0101901	Os12t0101901-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os01g0102000	Os01t0102000-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os07g0102000	Os07t0102000-01	.	.	0	0	0	21	0.0	0.0	0.0	1.968666
Os02g0102000	Os02t0102000-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os08g0102000	Os08t0102000-01	.	.	12	0	0	12	14.205835	0.0	0.0	2.582524
Os03g0102000	Os03t0102000-01	.	.	0	14	0	23	0.0	13.571848	0.0	9.186555
Os05g0102000	Os05t0102000-01	.	.	32	0	22	5	18.185146	0.0	9.805962	0.416416
Os08g0102050	Os08t0102050-00	.	.	0	0	0	1	0.0	0.0	0.0	1.103912
Os12g0102100	Os12t0102100-01,Os12t0102100-02	.	.	56	179	23	93	40.041337	52.213456	12.196942	11.630477
Os03g0102100	Os03t0102100-01,Os03t0102100-02	.	.	0	0	14	22	0.0	0.0	7.085376	1.948517
Os06g0102100	Os06t0102100-01	.	.	0	5	0	19	0.0	0.937306	0.0	1.851283
Os08g0102100	Os08t0102100-01	.	.	74	108	77	433	39.978184	25.380911	32.667881	43.211952
Os11g0102100	Os11t0102100-01,Os11t0102100-02	.	.	0	0	0	0	0.0	0.0	0.0	0.0
