geneID	rice_mock.rep1_count	rice_mock.rep2_count	rice_RSV.rep1_count	rice_RSV.rep2_count	rice_mock.rep1_cpm	rice_mock.rep2_cpm	rice_RSV.rep1_cpm	rice_RSV.rep2_cpm	LogFC	LogCPM	Pvalue	FDR		
LOC_Os07g03600	6	32	192	260	0.229765192	1.202247752	7.280414453	10.08163644	3.620983937	2.260374085	5.91E-10	1.72E-07		
LOC_Os01g62190	30	76	388	297	1.148825961	2.855338412	14.71250421	11.51633086	2.734430307	2.934315571	7.50E-10	2.16E-07		
LOC_Os11g42200	26	33	228	154	0.995649166	1.239817995	8.645492163	5.971430814	2.72493431	2.101983777	9.53E-10	2.70E-07		
LOC_Os04g49450	234	147	783	704	8.960842497	5.522825613	29.69044019	27.29796943	1.994108344	4.168887721	9.83E-10	2.75E-07		
LOC_Os01g44120	12	14	101	111	0.459530384	0.525983392	3.829801353	4.304083249	3.05610446	1.238606448	1.10E-09	3.02E-07		
LOC_Os06g30920	38	38	193	233	1.455179551	1.427669206	7.318333278	9.03469727	2.523833131	2.292244827	1.18E-09	3.21E-07		
LOC_Os05g12320	12	4	120	75	0.459530384	0.150280969	4.550259033	2.908164357	3.611730458	1.066846322	1.22E-09	3.27E-07		
LOC_Os02g35329	58	145	480	664	2.221063525	5.447685128	18.20103613	25.74694844	2.54793288	3.703151214	1.28E-09	3.38E-07		
LOC_Os10g34930	887	687	2954	2490	33.96695425	25.81075644	112.0122099	96.55105666	1.821849027	6.072277524	1.31E-09	3.43E-07		
LOC_Os02g43470	14	12	95	122	0.536118782	0.450842907	3.602288401	4.730614021	3.089407367	1.269715741	1.61E-09	4.15E-07		
LOC_Os10g38160	59	56	264	273	2.259357724	2.103933567	10.01056987	10.58571826	2.258968358	2.662199266	1.64E-09	4.18E-07		
LOC_Os03g57970	91	86	331	412	3.484772082	3.231040835	12.55113117	15.9755162	2.108749121	3.155819469	1.69E-09	4.26E-07		
LOC_Os02g50600	127	135	439	555	4.863363235	5.071982706	16.6463643	21.52041624	1.965127027	3.601148297	1.76E-09	4.39E-07		
LOC_Os04g10010	0	11	129	77	0	0.413272665	4.89152846	2.985715407	4.240578615	1.104026817	1.81E-09	4.45E-07		
LOC_Os06g51050	69	217	995	739	2.642299711	8.152742571	37.72923115	28.6551128	2.647752686	4.277565447	1.89E-09	4.60E-07		
LOC_Os04g49620	194	161	833	521	7.429074549	6.048809005	31.58638145	20.2020484	1.959432272	4.036037298	2.73E-09	6.56E-07		
LOC_Os04g10940	15	27	505	111	0.574412981	1.014396541	19.14900676	4.304083249	3.892344443	2.661782669	3.03E-09	7.18E-07		
LOC_Os04g22080	39	127	452	686	1.493473749	4.771420768	17.13930902	26.60000999	2.834488026	3.658572287	3.27E-09	7.67E-07		
LOC_Os01g72900	75	88	304	394	2.872064903	3.306181319	11.52732288	15.27755676	2.140664247	3.06095863	3.50E-09	8.12E-07		
LOC_Os01g31370	14	15	90	180	0.536118782	0.563553634	3.412694275	6.979594458	3.256071812	1.56552822	3.87E-09	8.87E-07		
LOC_Os05g38860	34	18	174	173	1.302002756	0.676264361	6.597875598	6.708165784	2.764263056	1.965885897	4.35E-09	9.87E-07		
LOC_Os04g55710	3309	2036	22552	8816	126.7155035	76.49301325	855.1453476	341.8450263	2.570377715	8.451946943	4.50E-09	9.98E-07		
LOC_Os03g08330	532	815	2094	2194	20.37251371	30.61974745	79.40202013	85.07350133	1.715655204	5.755595191	4.50E-09	9.98E-07		
LOC_Os07g46846	32	74	388	249	1.225414359	2.780197928	14.71250421	9.655105666	2.62626962	2.842646493	4.90E-09	1.08E-06		
LOC_Os08g09060	542	439	134	121	20.7554557	16.49333635	5.081122587	4.691838497	-1.90905806	3.556865264	4.97E-09	1.08E-06		
LOC_Os06g43384	0	8	70	58	0	0.300561938	2.654317769	2.248980436	4.003471607	0.46174904	5.33E-09	1.15E-06		
LOC_Os08g07630	3	16	93	113	0.114882596	0.601123876	3.526450751	4.381634298	3.473225921	1.16070543	5.65E-09	1.20E-06		
LOC_Os03g09930	146	183	589	518	5.590953011	6.875354334	22.33418809	20.08572183	1.789168261	3.787931162	5.85E-09	1.23E-06		
LOC_Os03g60570	22	63	225	402	0.842472372	2.366925263	8.531735687	15.58776096	2.938013638	2.794470388	7.38E-09	1.54E-06		
LOC_Os09g20090	45	61	240	249	1.723238942	2.291784778	9.100518066	9.655105666	2.245470998	2.530883445	7.87E-09	1.62E-06		
