TF.Gene.id	Target.gene.id
LOC_Os02g09830	LOC_Os03g17570
LOC_Os02g09830	LOC_Os05g04630
LOC_Os02g09830	LOC_Os04g53780
LOC_Os02g09830	LOC_Os02g09180
LOC_Os02g09830	LOC_Os02g47650
LOC_Os02g09830	LOC_Os03g55990
LOC_Os02g09830	LOC_Os07g36090
LOC_Os02g09830	LOC_Os03g42710
LOC_Os02g09830	LOC_Os03g03510
LOC_Os02g09830	LOC_Os01g07270
LOC_Os02g09830	LOC_Os01g20930
LOC_Os02g09830	LOC_Os11g02650
LOC_Os02g09830	LOC_Os05g27780
LOC_Os02g09830	LOC_Os12g36640
LOC_Os02g09830	LOC_Os03g34310
LOC_Os02g09830	LOC_Os03g11970
LOC_Os02g09830	LOC_Os10g40934
LOC_Os02g09830	LOC_Os02g32350
LOC_Os02g09830	LOC_Os04g24160
LOC_Os02g09830	LOC_Os08g16914
LOC_Os02g09830	LOC_Os01g03690
LOC_Os02g09830	LOC_Os07g35540
LOC_Os02g09830	LOC_Os01g66030
LOC_Os02g09830	LOC_Os03g04610
LOC_Os02g09830	LOC_Os02g28180
LOC_Os02g09830	LOC_Os05g12481
LOC_Os02g09830	LOC_Os03g50310
LOC_Os02g09830	LOC_Os09g35990
LOC_Os02g09830	LOC_Os05g42210
LOC_Os02g09830	LOC_Os10g29470
LOC_Os02g09830	LOC_Os07g34570
LOC_Os02g09830	LOC_Os03g01150
LOC_Os02g09830	LOC_Os01g39960
LOC_Os02g09830	LOC_Os06g51290
LOC_Os02g09830	LOC_Os03g59550
LOC_Os02g09830	LOC_Os12g40750
LOC_Os02g09830	LOC_Os05g50090
LOC_Os02g09830	LOC_Os02g32580
LOC_Os02g09830	LOC_Os01g64870
LOC_Os02g09830	LOC_Os09g31454
LOC_Os02g09830	LOC_Os10g39200
LOC_Os02g09830	LOC_Os06g07540
LOC_Os02g09830	LOC_Os10g30951
LOC_Os02g09830	LOC_Os03g03440
LOC_Os02g09830	LOC_Os01g50616
LOC_Os02g09830	LOC_Os03g30780
LOC_Os02g09830	LOC_Os09g10750
LOC_Os02g09830	LOC_Os04g57540
LOC_Os02g10140	LOC_Os01g58890
LOC_Os02g10140	LOC_Os02g09400
LOC_Os02g10140	LOC_Os04g50680
